
,15.5
2021-11-28 21:45:02,5.650211486816406
2021-11-28 21:50:03,4.548708964029949
2021-11-28 21:55:04,5.368868062337239
2021-11-28 22:00:05,4.0625296834309905
2021-11-28 22:05:07,5.420690053304036
2021-11-28 22:10:08,3.9350183410644535
2021-11-28 22:15:09,5.446192576090495
2021-11-28 22:20:10,4.036211486816406
2021-11-28 22:25:11,5.216671142578125
2021-11-28 22:30:13,3.8075069986979173
2021-11-28 22:35:14,5.395187530517578
2021-11-28 22:40:15,3.3970183410644523
2021-11-28 22:45:16,5.012653503417969
2021-11-28 22:50:17,2.988164845784505
2021-11-28 22:55:18,4.936145935058594
2021-11-28 23:00:21,3.195451538085938
2021-11-28 23:05:23,5.013470448811849
2021-11-28 23:10:24,2.6558176472981767
2021-11-28 23:15:25,4.860456583658855
2021-11-28 23:20:26,1.9919401957194012
2021-11-28 23:20:26,52.738494873046875
2021-11-28 23:25:27,4.579113159179688
2021-11-28 23:25:28,174.0
2021-11-28 23:30:28,2.4271131591796884
2021-11-28 23:35:29,5.065291168212891
2021-11-28 23:35:30,6.9
2021-11-28 23:40:31,2.4517987365722647
2021-11-28 23:45:32,5.167301259358724
2021-11-28 23:50:33,2.3506068623860674
2021-11-28 23:55:34,4.78476596069336
2021-11-28 23:55:34,52.19162368774414
2021-11-29 00:15:39,978.41064453125
2021-11-29 00:30:43,5.6
2021-11-29 05:41:54,3.555752095540366
2021-11-29 06:40:23,982.192626953125
2021-11-29 07:38:04,117.6
2021-11-29 08:35:42,52.72016143798828
2021-11-29 08:42:08,127.1
2021-11-29 14:21:40,168.0
2021-11-29 15:00:06,168.0
2021-11-29 15:38:30,114.0
2021-11-29 15:57:43,43.982444763183594
2021-11-29 16:04:07,989.14599609375
2021-11-29 16:48:58,182.0
2021-11-29 17:27:24,7.9692868245442705
2021-11-29 17:33:49,47.245338439941406
2021-11-29 20:03:42,6.616847615559895
2021-11-29 20:08:44,7.001016805013021
2021-11-29 20:18:47,6.5
2021-11-29 20:53:54,6.694172129313151
2021-11-29 21:39:06,5.2
2021-11-29 22:04:11,6.2
2021-12-08 00:04:53,7.171367645263672
2021-12-08 00:04:54,176.0
2021-12-08 00:09:54,7.343507766723633
2021-12-08 00:09:55,178.0
2021-12-08 00:14:55,7.343507766723633
2021-12-08 00:14:56,175.0
2021-12-08 00:19:57,7.458268165588379
2021-12-08 00:19:58,177.0
2021-12-08 00:24:58,7.458268165588379
2021-12-08 00:24:59,179.0
2021-12-08 00:29:59,7.362634658813477
2021-12-08 00:30:00,175.0
2021-12-08 00:35:00,7.3243818283081055
2021-12-08 00:35:01,175.0
2021-12-08 00:40:01,7.343507766723633
2021-12-08 00:40:02,181.0
2021-12-08 00:45:02,7.477395057678223
2021-12-08 00:45:03,181.0
2021-12-08 00:50:04,7.477395057678223
2021-12-08 00:50:05,177.0
2021-12-08 00:55:05,7.534775733947754
2021-12-08 00:55:06,179.0
2021-12-08 01:00:06,7.477395057678223
2021-12-08 01:00:07,181.0
2021-12-08 01:05:07,7.534775733947754
2021-12-08 01:05:08,176.0
2021-12-08 01:10:08,7.496521949768066
2021-12-08 01:10:09,176.0
2021-12-08 01:15:09,7.496521949768066
2021-12-08 01:15:10,175.0
2021-12-08 01:20:10,7.477395057678223
2021-12-08 01:20:12,175.0
2021-12-08 01:25:12,7.439142227172852
2021-12-08 01:25:13,179.0
2021-12-08 01:30:13,7.190494537353516
2021-12-08 01:30:14,179.0
2021-12-08 01:35:14,7.018353462219238
2021-12-08 01:35:15,182.0
2021-12-08 01:40:15,7.113986968994141
2021-12-08 01:40:16,178.0
2021-12-08 01:45:16,7.0757341384887695
2021-12-08 01:45:17,177.0
2021-12-08 01:50:17,7.094860076904297
2021-12-08 01:50:18,179.0
2021-12-08 01:55:19,7.018353462219238
2021-12-08 01:55:20,178.0
2021-12-08 02:00:20,6.903593063354492
2021-12-08 02:00:21,182.0
2021-12-08 02:05:21,7.056607246398926
2021-12-08 02:05:22,181.0
2021-12-08 02:10:22,6.94184684753418
2021-12-08 02:10:23,185.0
2021-12-08 02:15:23,7.0757341384887695
2021-12-08 02:15:24,179.0
2021-12-08 02:20:24,7.0757341384887695
2021-12-08 02:20:25,182.0
2021-12-08 02:25:26,7.018353462219238
2021-12-08 02:25:27,183.0
2021-12-08 02:30:27,6.903593063354492
2021-12-08 02:30:28,183.0
2021-12-08 02:35:28,7.037480354309082
2021-12-08 02:35:29,185.0
2021-12-08 02:40:29,6.884466171264648
2021-12-08 02:40:30,178.0
2021-12-08 02:45:30,6.827086448669434
2021-12-08 02:45:31,179.0
2021-12-08 02:50:31,6.94184684753418
2021-12-08 02:50:32,181.0
2021-12-08 02:55:32,7.018353462219238
2021-12-08 02:55:34,182.0
2021-12-08 03:00:34,6.980099678039551
2021-12-08 03:00:35,181.0
2021-12-08 03:05:35,6.922719955444336
2021-12-08 03:05:36,180.0
2021-12-08 03:10:36,6.903593063354492
2021-12-08 03:10:37,175.0
2021-12-08 03:15:37,6.94184684753418
2021-12-08 03:15:38,180.0
2021-12-08 03:20:38,6.865339279174805
2021-12-08 03:20:39,175.0
2021-12-08 03:25:39,6.731451988220215
2021-12-08 03:25:41,176.0
2021-12-08 03:30:41,6.654945373535156
2021-12-08 03:30:42,177.0
2021-12-08 03:35:42,6.654945373535156
2021-12-08 03:35:43,178.0
2021-12-08 03:40:43,6.846213340759277
2021-12-08 03:40:44,178.0
2021-12-08 03:45:44,6.654945373535156
2021-12-08 03:45:45,174.0
2021-12-08 03:50:45,6.578438758850098
2021-12-08 03:50:47,171.0
2021-12-08 03:55:47,6.674072265625
2021-12-08 03:55:48,171.0
2021-12-08 04:00:48,6.616691589355469
2021-12-08 04:00:49,171.0
2021-12-08 04:05:49,6.7123260498046875
2021-12-08 04:05:50,174.0
2021-12-08 04:10:50,6.674072265625
2021-12-08 04:10:51,172.0
2021-12-08 04:15:51,6.7123260498046875
2021-12-08 04:15:52,173.0
2021-12-08 04:20:53,6.731451988220215
2021-12-08 04:20:54,168.0
2021-12-08 04:25:54,6.80795955657959
2021-12-08 04:25:55,169.0
2021-12-08 04:30:55,6.750578880310059
2021-12-08 04:30:56,169.0
2021-12-08 04:35:56,6.7123260498046875
2021-12-08 04:35:57,168.0
2021-12-08 04:40:57,6.750578880310059
2021-12-08 04:40:58,173.0
2021-12-08 04:45:58,6.731451988220215
2021-12-08 04:45:59,171.0
2021-12-08 04:51:00,6.80795955657959
2021-12-08 04:51:01,172.0
2021-12-08 04:56:01,6.80795955657959
2021-12-08 04:56:02,169.0
2021-12-08 05:01:02,6.6358184814453125
2021-12-08 05:01:03,166.0
2021-12-08 05:06:03,6.482805252075195
2021-12-08 05:06:04,166.0
2021-12-08 05:11:04,6.444551467895508
2021-12-08 05:11:05,169.0
2021-12-08 05:16:05,6.444551467895508
2021-12-08 05:16:06,165.0
2021-12-08 05:21:06,6.329791069030762
2021-12-08 05:21:08,164.0
2021-12-08 05:26:08,6.329791069030762
2021-12-08 05:26:09,167.0
2021-12-08 05:31:09,6.291537284851074
2021-12-08 05:31:10,169.0
2021-12-08 05:36:11,6.042889595031738
2021-12-08 05:36:12,171.0
2021-12-08 05:41:12,6.0237627029418945
2021-12-08 05:41:13,165.0
2021-12-08 05:46:13,6.042889595031738
2021-12-08 05:46:14,169.0
2021-12-08 05:51:14,5.985509872436523
2021-12-08 05:51:15,164.0
2021-12-08 05:56:15,5.947256088256836
2021-12-08 05:56:16,171.0
2021-12-08 06:01:16,5.851622581481934
