=======
"2021-11-26 15:11:46";"4,1"
2021-11-26 15:11:46,4.1
"2021-11-26 15:18:09";"3,0"
2021-11-26 15:18:09,3.0
"2021-11-26 16:05:00";"94,5"
2021-11-26 16:05:00,94.5
"2021-11-26 16:11:25";"136,8"
2021-11-26 16:11:25,136.8
"2021-11-26 16:17:49";"137,1"
2021-11-26 16:17:49,137.1
"2021-11-26 16:24:14";"137,4"
2021-11-26 16:24:14,137.4
"2021-11-26 16:30:39";"133,8"
2021-11-26 16:30:39,133.8
"2021-11-26 16:37:04";"135,6"
2021-11-26 16:37:04,135.6
"2021-11-26 16:43:29";"137,1"
2021-11-26 16:43:29,137.1
"2021-11-26 16:49:53";"134,8"
2021-11-26 16:49:53,134.8
"2021-11-26 16:56:18";"136,2"
2021-11-26 16:56:18,136.2
"2021-11-26 17:02:43";"133,9"
2021-11-26 17:02:43,133.9
"2021-11-26 17:09:08";"136,0"
2021-11-26 17:09:08,136.0
"2021-11-26 17:15:33";"133,5"
2021-11-26 17:15:33,133.5
"2021-11-26 17:21:57";"136,8"
2021-11-26 17:21:57,136.8
"2021-11-26 17:28:22";"134,8"
2021-11-26 17:28:22,134.8
"2021-11-26 17:34:47";"135,1"
2021-11-26 17:34:47,135.1
"2021-11-26 17:41:12";"138,2"
2021-11-26 17:41:12,138.2
"2021-11-26 17:47:36";"137,0"
2021-11-26 17:47:36,137.0
"2021-11-26 17:54:01";"139,3"
2021-11-26 17:54:01,139.3
"2021-11-26 18:00:26";"136,1"
2021-11-26 18:00:26,136.1
"2021-11-26 18:06:51";"138,1"
2021-11-26 18:06:51,138.1
"2021-11-26 18:13:16";"136,0"
2021-11-26 18:13:16,136.0
"2021-11-26 18:19:40";"134,2"
2021-11-26 18:19:40,134.2
"2021-11-26 18:26:05";"134,9"
2021-11-26 18:26:05,134.9
"2021-11-26 18:32:30";"137,6"
2021-11-26 18:32:30,137.6
"2021-11-26 18:38:55";"136,1"
2021-11-26 18:38:55,136.1
"2021-11-26 18:45:19";"137,8"
2021-11-26 18:45:19,137.8
"2021-11-26 18:51:44";"135,5"
2021-11-26 18:51:44,135.5
"2021-11-26 18:58:09";"139,5"
2021-11-26 18:58:09,139.5
"2021-11-26 19:04:34";"137,4"
2021-11-26 19:04:34,137.4
"2021-11-26 19:09:35";"128,1"
2021-11-26 19:09:35,128.1
2021-11-26 19:14:36,9.1
2021-11-26 19:19:37,9.4
2021-11-26 19:24:39,8.9
2021-11-26 19:29:40,9.7
2021-11-26 19:34:41,9.0
2021-11-26 19:39:42,8.5
2021-11-26 19:44:43,9.0
2021-11-26 19:49:44,10.2
2021-11-26 19:54:45,8.9
2021-11-26 19:59:46,9.4
2021-11-26 20:04:48,8.7
2021-11-26 20:09:49,8.7
2021-11-26 20:14:50,8.7
2021-11-26 20:19:51,8.0
2021-11-26 20:24:52,9.2
>>>>>>> fb236e635d2fe1a8dc4bf31e293f10d6584bd3da
<<<<<<< HEAD
